,Name,Rarity,Quantity,Price,Expansion,Finish,Language,Condition
10503,SLIVER HIVE,RARE,13.0,12.0,M15 CORE SET,NORMAL,ENGLISH,NEAR MINT
10902,EMPYRIAL ARCHANGEL,MYTHIC,3.0,12.0,SHARDS OF ALARA,FOIL,ENGLISH,NEAR MINT
10951,"SEDRIS, THE TRAITOR KING",MYTHIC,3.0,12.0,SHARDS OF ALARA,NORMAL,ENGLISH,NEAR MINT
11023,HALLOWED HAUNTING,MYTHIC,1.0,12.0,INNISTRAD CRIMSON VOW,FOIL,ENGLISH,NEAR MINT
11101,"TOXRILL, THE CORROSIVE (SHOWCASE)",MYTHIC,3.0,12.0,INNISTRAD CRIMSON VOW,FOIL,ENGLISH,NEAR MINT
11149,HONDEN OF INFINITE RAGE,UNCOMMON,3.0,12.0,CHAMPIONS OF KAMIGAWA,FOIL,ENGLISH,NEAR MINT
11157,HONDEN OF SEEING WINDS,UNCOMMON,3.0,12.0,CHAMPIONS OF KAMIGAWA,FOIL,ENGLISH,NEAR MINT
11183,KUSARI-GAMA,RARE,2.0,12.0,CHAMPIONS OF KAMIGAWA,FOIL,ENGLISH,NEAR MINT
11196,MYOJIN OF INFINITE RAGE,RARE,2.0,12.0,CHAMPIONS OF KAMIGAWA,FOIL,ENGLISH,NEAR MINT
11553,"KOMA, COSMOS SERPENT (SHOWCASE)",MYTHIC,2.0,12.0,KALDHEIM,FOIL,ENGLISH,NEAR MINT
11684,HIDETSUGU CONSUMES ALL (SHOWCASE),MYTHIC,1.0,12.0,KAMIGAWA NEON DYNASTY,FOIL,ENGLISH,NEAR MINT
11966,SUMMER BLOOM,UNCOMMON,2.0,12.0,9TH EDITION,FOIL,ENGLISH,NEAR MINT
12054,CAGED SUN,RARE,2.0,12.0,NEW PHYREXIA,FOIL,ENGLISH,NEAR MINT
12068,"ELESH NORN, GRAND CENOBITE",MYTHIC,8.0,12.0,NEW PHYREXIA,NORMAL,ENGLISH,NEAR MINT
12078,"JIN-GITAXIAS, CORE AUGUR",MYTHIC,4.0,12.0,NEW PHYREXIA,NORMAL,ENGLISH,NEAR MINT
12201,HONDEN OF CLEANSING FIRE,,2.0,12.0,ETERNAL MASTERS,FOIL,ENGLISH,NEAR MINT
12210,ISOCHRON SCEPTER,,2.0,12.0,ETERNAL MASTERS,FOIL,ENGLISH,NEAR MINT
12259,TOXIC DELUGE,,6.0,12.0,ETERNAL MASTERS,NORMAL,ENGLISH,NEAR MINT
12315,"LILIANA, THE LAST HOPE",,5.0,12.0,ELDRITCH MOON,NORMAL,ENGLISH,NEAR MINT
243,TENDERSHOOT DRYAD,RARE,2.0,11.0,RIVALS OF IXALAN,FOIL,ENGLISH,NEAR MINT
799,"EXTENDED ART SEA GATE RESTORATION / SEA GATE, REBORN",MYTHIC,15.0,11.0,ZENDIKAR RISING,NORMAL,ENGLISH,NEAR MINT
1108,SPIRE GARDEN,MYTHIC,11.0,11.0,ZENDIKAR RISING EXPEDITIONS,NORMAL,ENGLISH,NEAR MINT
1314,SPAWNSIRE OF ULAMOG,RARE,3.0,11.0,RISE OF THE ELDRAZI,FOIL,ENGLISH,NEAR MINT
1383,AETHERFLUX RESERVOIR,,7.0,11.0,KALADESH,NORMAL,ENGLISH,NEAR MINT
1412,INVENTORS' FAIR,,3.0,11.0,KALADESH,FOIL,ENGLISH,NEAR MINT
1509,GLEN ELENDRA LIEGE,RARE,2.0,11.0,SHADOWMOOR,FOIL,ENGLISH,NEAR MINT
2178,SEACHROME COAST,RARE,12.0,11.0,SCARS OF MIRRODIN,NORMAL,ENGLISH,NEAR MINT
2367,BLOOD MOON,RARE,1.0,11.0,MODERN MASTERS,NORMAL,ENGLISH,NEAR MINT
2374,CRYPTIC COMMAND,RARE,1.0,11.0,MODERN MASTERS,FOIL,ENGLISH,NEAR MINT
2424,LIFE FROM THE LOAM,RARE,7.0,11.0,MODERN MASTERS,NORMAL,ENGLISH,NEAR MINT
2476,VENDILION CLIQUE,MYTHIC,1.0,11.0,MODERN MASTERS,FOIL,ENGLISH,NEAR MINT
3172,JOINER ADEPT,RARE,2.0,11.0,FIFTH DAWN,FOIL,ENGLISH,NEAR MINT
3207,STEELSHAPER'S GIFT,UNCOMMON,5.0,11.0,FIFTH DAWN,NORMAL,ENGLISH,NEAR MINT
3453,"ASHLING, THE EXTINGUISHER",RARE,1.0,11.0,EVENTIDE,FOIL,ENGLISH,NEAR MINT
3533,SPRINGJACK PASTURE,RARE,2.0,11.0,EVENTIDE,FOIL,ENGLISH,NEAR MINT
3633,GRIEF,MYTHIC,2.0,11.0,MODERN HORIZONS 2,FOIL,ENGLISH,NEAR MINT
3760,SWORD OF HEARTH AND HOME (RETRO FRAME),MYTHIC,5.0,11.0,MODERN HORIZONS 2,FOIL,ENGLISH,NEAR MINT
3859,PRIMORDIAL HYDRA,MYTHIC,7.0,11.0,M13 CORE SET,NORMAL,ENGLISH,NEAR MINT
4421,LORD OF ATLANTIS,RARE,7.0,11.0,TIME SPIRAL TIME SHIFTED,NORMAL,ENGLISH,NEAR MINT
4727,CRYPT OF AGADEEM,RARE,2.0,11.0,ZENDIKAR,FOIL,ENGLISH,NEAR MINT
4882,RESPLENDENT ANGEL,MYTHIC,5.0,11.0,CORE SET 2019,NORMAL,ENGLISH,NEAR MINT
5013,CRYPTIC COMMAND,RARE,2.0,11.0,MODERN MASTERS 2015,FOIL,ENGLISH,NEAR MINT
5080,TEZZERET THE SEEKER,MYTHIC,2.0,11.0,MODERN MASTERS 2015,FOIL,ENGLISH,NEAR MINT
5189,WATERY GRAVE,RARE,4.0,11.0,RAVNICA,NORMAL,ENGLISH,NEAR MINT
6113,DAYBREAK CORONET,RARE,2.0,11.0,FUTURESIGHT,FOIL,ENGLISH,NEAR MINT
6560,EXTENDED ART MIRRORMADE,RARE,1.0,11.0,THRONE OF ELDRAINE,FOIL,ENGLISH,NEAR MINT
6564,EXTENDED ART QUESTING BEAST,MYTHIC,2.0,11.0,THRONE OF ELDRAINE,NORMAL,ENGLISH,NEAR MINT
6671,ELVISH PIPER,RARE,2.0,11.0,M10 CORE SET,FOIL,ENGLISH,NEAR MINT
6678,GLACIAL FORTRESS,RARE,3.0,11.0,M10 CORE SET,FOIL,ENGLISH,NEAR MINT
6697,LILIANA VESS,MYTHIC,2.0,11.0,M10 CORE SET,FOIL,ENGLISH,NEAR MINT
6736,SPHINX AMBASSADOR,MYTHIC,2.0,11.0,M10 CORE SET,FOIL,ENGLISH,NEAR MINT
6970,CAPTIVATING VAMPIRE,RARE,1.0,11.0,M11 CORE SET,FOIL,ENGLISH,NEAR MINT
7002,KNIGHT EXEMPLAR,RARE,2.0,11.0,M11 CORE SET,FOIL,ENGLISH,NEAR MINT
7387,KALONIAN HYDRA,MYTHIC,3.0,11.0,M14 CORE SET,NORMAL,ENGLISH,NEAR MINT
8021,"ELESH NORN, GRAND CENOBITE",MYTHIC,6.0,11.0,ICONIC MASTERS,NORMAL,ENGLISH,NEAR MINT
8701,AJANI THE GREATHEARTED (JPN ALTERNATE ART),RARE,2.0,11.0,WAR OF THE SPARK,FOIL,JAPANESE,NEAR MINT
8776,KARN THE GREAT CREATOR (JPN ALTERNATE ART),RARE,2.0,11.0,WAR OF THE SPARK,NORMAL,JAPANESE,NEAR MINT
8780,KASMINA ENIGMATIC MENTOR (JPN ALTERNATE ART),UNCOMMON,2.0,11.0,WAR OF THE SPARK,FOIL,JAPANESE,NEAR MINT
8795,MAYHEM DEVIL,UNCOMMON,4.0,11.0,WAR OF THE SPARK,FOIL,ENGLISH,NEAR MINT
9010,TARMOGOYF,MYTHIC,6.0,11.0,MODERN MASTERS 2017,NORMAL,ENGLISH,NEAR MINT
9089,MIND'S EYE,RARE,2.0,11.0,MIRRODIN,FOIL,ENGLISH,NEAR MINT
9284,CHROMATIC ORRERY,MYTHIC,8.0,11.0,CORE SET 2021,NORMAL,ENGLISH,NEAR MINT
9892,CATHARS' CRUSADE,RARE,2.0,11.0,AVACYN RESTORED,FOIL,ENGLISH,NEAR MINT
10505,SLIVER HIVELORD,MYTHIC,15.0,11.0,M15 CORE SET,NORMAL,ENGLISH,NEAR MINT
10653,INQUISITION OF KOZILEK (JP ALT ART),RARE,8.0,11.0,STRIXHAVEN MYSTICAL ARCHIVE,FOIL,JAPANESE,NEAR MINT
10685,MIZZIX'S MASTERY (JP ALT ART),MYTHIC,2.0,11.0,STRIXHAVEN MYSTICAL ARCHIVE,FOIL,JAPANESE,NEAR MINT
10974,AVABRUCK CARETAKER / HOLLOWHENGE HUNTMASTER (EXTENDED ART),MYTHIC,3.0,11.0,INNISTRAD CRIMSON VOW,NORMAL,ENGLISH,NEAR MINT
11024,HALLOWED HAUNTING,MYTHIC,12.0,11.0,INNISTRAD CRIMSON VOW,NORMAL,ENGLISH,NEAR MINT
11475,THE OZOLITH,RARE,24.0,11.0,IKORIA LAIR OF BEHEMOTHS,NORMAL,ENGLISH,NEAR MINT
11532,GOLDSPAN DRAGON,MYTHIC,8.0,11.0,KALDHEIM,NORMAL,ENGLISH,NEAR MINT
11629,"ATSUSHI, THE BLAZING SKY (BORDERLESS)",MYTHIC,1.0,11.0,KAMIGAWA NEON DYNASTY,FOIL,ENGLISH,NEAR MINT
12063,DISMEMBER,UNCOMMON,2.0,11.0,NEW PHYREXIA,FOIL,ENGLISH,NEAR MINT
12131,TORPOR ORB,RARE,1.0,11.0,NEW PHYREXIA,NORMAL,ENGLISH,NEAR MINT
12336,TREE OF PERDITION,,2.0,11.0,ELDRITCH MOON,FOIL,ENGLISH,NEAR MINT
46,EXTENDED ART POLUKRANOS UNCHAINED,MYTHIC,2.0,10.0,THEROS BEYOND DEATH,FOIL,ENGLISH,NEAR MINT
158,HEROIC INTERVENTION,,1.0,10.0,AETHER REVOLT,FOIL,ENGLISH,NEAR MINT
166,MECHANIZED PRODUCTION,,7.0,10.0,AETHER REVOLT,NORMAL,ENGLISH,NEAR MINT
167,MECHANIZED PRODUCTION,,1.0,10.0,AETHER REVOLT,FOIL,ENGLISH,NEAR MINT
185,WALKING BALLISTA,,3.0,10.0,AETHER REVOLT,NORMAL,ENGLISH,NEAR MINT
218,"HUATLI, RADIANT CHAMPION",MYTHIC,2.0,10.0,RIVALS OF IXALAN,FOIL,ENGLISH,NEAR MINT
222,"KUMENA, TYRANT OF ORAZCA",MYTHIC,2.0,10.0,RIVALS OF IXALAN,FOIL,ENGLISH,NEAR MINT
345,BLACK SUN'S ZENITH,RARE,2.0,10.0,MIRRODIN BESIEGED,FOIL,ENGLISH,NEAR MINT
388,SANGROMANCER,RARE,2.0,10.0,MIRRODIN BESIEGED,FOIL,ENGLISH,NEAR MINT
611,TIAMAT,MYTHIC,6.0,10.0,ADVENTURES IN THE FORGOTTEN REALMS,FOIL,ENGLISH,NEAR MINT
638,"XANATHAR, GUILD KINGPIN (EXTENDED ART)",MYTHIC,3.0,10.0,ADVENTURES IN THE FORGOTTEN REALMS,FOIL,ENGLISH,NEAR MINT
739,"AGADEEM'S AWAKENING / AGADEEM, THE UNDERCRYPT",MYTHIC,7.0,10.0,ZENDIKAR RISING,NORMAL,ENGLISH,NEAR MINT
771,EXTENDED ART ANCIENT GREENWARDEN,MYTHIC,6.0,10.0,ZENDIKAR RISING,NORMAL,ENGLISH,NEAR MINT
800,"EXTENDED ART SEA GATE RESTORATION / SEA GATE, REBORN",MYTHIC,10.0,10.0,ZENDIKAR RISING,FOIL,ENGLISH,NEAR MINT
859,"SEA GATE RESTORATION / SEA GATE, REBORN",MYTHIC,10.0,10.0,ZENDIKAR RISING,NORMAL,ENGLISH,NEAR MINT
946,INFERNAL KIRIN,RARE,1.0,10.0,SAVIORS OF KAMIGAWA,FOIL,ENGLISH,NEAR MINT
952,KAMI OF THE CRESCENT MOON,RARE,1.0,10.0,SAVIORS OF KAMIGAWA,FOIL,ENGLISH,NEAR MINT
956,"KUON, OGRE ASCENDANT",RARE,2.0,10.0,SAVIORS OF KAMIGAWA,FOIL,ENGLISH,NEAR MINT
966,"MICHIKO KONDA, TRUTH SEEKER",RARE,2.0,10.0,SAVIORS OF KAMIGAWA,NORMAL,ENGLISH,NEAR MINT
972,NIKKO-ONNA,UNCOMMON,2.0,10.0,SAVIORS OF KAMIGAWA,FOIL,ENGLISH,NEAR MINT
1002,TWINCAST,RARE,2.0,10.0,SAVIORS OF KAMIGAWA,FOIL,ENGLISH,NEAR MINT
1014,CRYPTOLITH RITE,RARE,2.0,10.0,SHADOWS OVER INNISTRAD,FOIL,ENGLISH,NEAR MINT
1046,RELENTLESS DEAD,MYTHIC,2.0,10.0,SHADOWS OVER INNISTRAD,NORMAL,ENGLISH,NEAR MINT
1084,DARKSLICK SHORES,MYTHIC,3.0,10.0,ZENDIKAR RISING EXPEDITIONS,FOIL,ENGLISH,NEAR MINT
1107,SEACHROME COAST,MYTHIC,4.0,10.0,ZENDIKAR RISING EXPEDITIONS,FOIL,ENGLISH,NEAR MINT
1287,LIGHTHOUSE CHRONOLOGIST,MYTHIC,4.0,10.0,RISE OF THE ELDRAZI,NORMAL,ENGLISH,NEAR MINT
1336,WORLD AT WAR,RARE,2.0,10.0,RISE OF THE ELDRAZI,FOIL,ENGLISH,NEAR MINT
1390,BLOOMING MARSH,,1.0,10.0,KALADESH,FOIL,ENGLISH,NEAR MINT
1480,DIRE UNDERCURRENTS,RARE,6.0,10.0,SHADOWMOOR,NORMAL,ENGLISH,NEAR MINT
1497,FIRE-LIT THICKET,RARE,2.0,10.0,SHADOWMOOR,FOIL,ENGLISH,NEAR MINT
1500,FRACTURING GUST,RARE,2.0,10.0,SHADOWMOOR,FOIL,ENGLISH,NEAR MINT
1559,PLAGUE OF VERMIN,RARE,2.0,10.0,SHADOWMOOR,FOIL,ENGLISH,NEAR MINT
2044,CRYPT GHAST,RARE,3.0,10.0,GATECRASH,FOIL,ENGLISH,NEAR MINT
2053,ENTER THE INFINITE,MYTHIC,2.0,10.0,GATECRASH,FOIL,ENGLISH,NEAR MINT
2144,LEONIN ARBITER,RARE,2.0,10.0,SCARS OF MIRRODIN,FOIL,ENGLISH,NEAR MINT
2251,"PURPHOROS, GOD OF THE FORGE",MYTHIC,5.0,10.0,THEROS,NORMAL,ENGLISH,NEAR MINT
2296,GROWING RITES OF ITLIMOC (ITLIMOC CRADLE OF THE SUN),RARE,8.0,10.0,IXALAN,NORMAL,ENGLISH,NEAR MINT
2388,"ELSPETH, KNIGHT-ERRANT",MYTHIC,2.0,10.0,MODERN MASTERS,FOIL,ENGLISH,NEAR MINT
2404,GRAND ARBITER AUGUSTIN IV,RARE,4.0,10.0,MODERN MASTERS,NORMAL,ENGLISH,NEAR MINT
2420,"KOKUSHO, THE EVENING STAR",MYTHIC,3.0,10.0,MODERN MASTERS,NORMAL,ENGLISH,NEAR MINT
2440,PARADISE MANTLE,UNCOMMON,2.0,10.0,MODERN MASTERS,FOIL,ENGLISH,NEAR MINT
2494,CRIME / PUNISHMENT,RARE,5.0,10.0,DISSENSION,NORMAL,ENGLISH,NEAR MINT
2505,GRAND ARBITER AUGUSTIN IV,RARE,4.0,10.0,DISSENSION,NORMAL,ENGLISH,NEAR MINT
2551,VOIDSLIME,RARE,2.0,10.0,DISSENSION,FOIL,ENGLISH,NEAR MINT
2641,BRUSHLAND,RARE,1.0,10.0,10TH EDITION,NORMAL,ENGLISH,NEAR MINT
2650,COAT OF ARMS,RARE,1.0,10.0,10TH EDITION,NORMAL,ENGLISH,NEAR MINT
2712,PRIMAL RAGE,UNCOMMON,2.0,10.0,10TH EDITION,FOIL,ENGLISH,NEAR MINT
2728,SHIVAN REEF,RARE,2.0,10.0,10TH EDITION,FOIL,ENGLISH,NEAR MINT
2754,WRATH OF GOD,RARE,2.0,10.0,10TH EDITION,FOIL,ENGLISH,NEAR MINT
3115,ACQUIRE,RARE,2.0,10.0,FIFTH DAWN,FOIL,ENGLISH,NEAR MINT
3135,BRINGER OF THE BLUE DAWN,RARE,2.0,10.0,FIFTH DAWN,FOIL,ENGLISH,NEAR MINT
3557,ARID MESA,RARE,47.0,10.0,MODERN HORIZONS 2,NORMAL,ENGLISH,NEAR MINT
3569,CABAL COFFERS (FOIL ETCHED),MYTHIC,83.0,10.0,MODERN HORIZONS 2,FOIL,ENGLISH,NEAR MINT
3580,COUNTERSPELL (BORDERLESS),RARE,8.0,10.0,MODERN HORIZONS 2,FOIL,ENGLISH,NEAR MINT
3595,DAUTHI VOIDWALKER (EXTENDED ART),RARE,3.0,10.0,MODERN HORIZONS 2,FOIL,ENGLISH,NEAR MINT
3636,GRIEF (BORDERLESS),MYTHIC,11.0,10.0,MODERN HORIZONS 2,NORMAL,ENGLISH,NEAR MINT
3658,MARSH FLATS,RARE,35.0,10.0,MODERN HORIZONS 2,NORMAL,ENGLISH,NEAR MINT
3660,MARSH FLATS (EXTENDED ART),RARE,1.0,10.0,MODERN HORIZONS 2,NORMAL,ENGLISH,NEAR MINT
3663,MARSH FLATS (RETRO FRAME) (FOIL ETCHED),RARE,1.0,10.0,MODERN HORIZONS 2,FOIL,ENGLISH,NEAR MINT
3759,SWORD OF HEARTH AND HOME (BORDERLESS),MYTHIC,20.0,10.0,MODERN HORIZONS 2,NORMAL,ENGLISH,NEAR MINT
3761,SWORD OF HEARTH AND HOME (RETRO FRAME),MYTHIC,18.0,10.0,MODERN HORIZONS 2,NORMAL,ENGLISH,NEAR MINT
3816,AKROMA'S MEMORIAL,MYTHIC,6.0,10.0,M13 CORE SET,NORMAL,ENGLISH,NEAR MINT
3850,LILIANA OF THE DARK REALMS,MYTHIC,4.0,10.0,M13 CORE SET,NORMAL,ENGLISH,NEAR MINT
3902,AUNTIE'S HOVEL,RARE,2.0,10.0,LORWYN,NORMAL,ENGLISH,NEAR MINT
3903,AUSTERE COMMAND,RARE,2.0,10.0,LORWYN,FOIL,ENGLISH,NEAR MINT
3941,HORDE OF NOTIONS,RARE,1.0,10.0,LORWYN,FOIL,ENGLISH,NEAR MINT
3949,ISLAND (287),COMMON,1.0,10.0,LORWYN,FOIL,ENGLISH,NEAR MINT
3957,LILIANA VESS,RARE,4.0,10.0,LORWYN,NORMAL,ENGLISH,NEAR MINT
3965,MISTBIND CLIQUE,RARE,1.0,10.0,LORWYN,FOIL,ENGLISH,NEAR MINT
4442,UNDEAD WARCHIEF,UNCOMMON,7.0,10.0,TIME SPIRAL TIME SHIFTED,NORMAL,ENGLISH,NEAR MINT
4498,"AKROMA, ANGEL OF FURY",RARE,2.0,10.0,PLANAR CHAOS,FOIL,ENGLISH,NEAR MINT
4528,"INTET, THE DREAMER",RARE,2.0,10.0,PLANAR CHAOS,FOIL,ENGLISH,NEAR MINT
4551,PYROHEMIA,UNCOMMON,2.0,10.0,PLANAR CHAOS,FOIL,ENGLISH,NEAR MINT
4675,PATRON OF THE MOON,RARE,1.0,10.0,BETRAYERS OF KAMIGAWA,FOIL,ENGLISH,NEAR MINT
4690,SWAY OF THE STARS,RARE,2.0,10.0,BETRAYERS OF KAMIGAWA,FOIL,ENGLISH,NEAR MINT
4715,BLADE OF THE BLOODCHIEF,RARE,2.0,10.0,ZENDIKAR,FOIL,ENGLISH,NEAR MINT
4773,LOTUS COBRA,MYTHIC,4.0,10.0,ZENDIKAR,FOIL,ENGLISH,NEAR MINT
4789,NISSA REVANE,MYTHIC,2.0,10.0,ZENDIKAR,FOIL,ENGLISH,NEAR MINT
4793,ORACLE OF MUL DAYA,RARE,6.0,10.0,ZENDIKAR,NORMAL,ENGLISH,NEAR MINT
4868,"LILIANA, UNTOUCHED BY DEATH",MYTHIC,2.0,10.0,CORE SET 2019,FOIL,ENGLISH,NEAR MINT
4895,"TEZZERET, ARTIFICE MASTER",MYTHIC,2.0,10.0,CORE SET 2019,FOIL,ENGLISH,NEAR MINT
4948,GUARDIAN PROJECT,RARE,4.0,10.0,RAVNICA ALLEGIANCE,FOIL,ENGLISH,NEAR MINT
5081,TEZZERET THE SEEKER,MYTHIC,4.0,10.0,MODERN MASTERS 2015,NORMAL,ENGLISH,NEAR MINT
5114,DIMIR SIGNET,COMMON,2.0,10.0,RAVNICA,FOIL,ENGLISH,NEAR MINT
5171,SHADOW OF DOUBT,RARE,1.0,10.0,RAVNICA,FOIL,ENGLISH,NEAR MINT
5269,TEMUR SABERTOOTH,UNCOMMON,2.0,10.0,FATE REFORGED,FOIL,ENGLISH,NEAR MINT
5336,NETHER TRAITOR,RARE,2.0,10.0,TIME SPIRAL,FOIL,ENGLISH,NEAR MINT
5343,PARADOX HAZE,UNCOMMON,1.0,10.0,TIME SPIRAL,FOIL,ENGLISH,NEAR MINT
5386,VESUVA,RARE,4.0,10.0,TIME SPIRAL,NORMAL,ENGLISH,NEAR MINT
5497,UTVARA HELLKITE,MYTHIC,6.0,10.0,RETURN TO RAVNICA,NORMAL,ENGLISH,NEAR MINT
5519,KOZILEK'S RETURN,MYTHIC,1.0,10.0,OATH OF THE GATEWATCH,FOIL,ENGLISH,NEAR MINT
5855,COMMANDEER,RARE,4.0,10.0,COLDSNAP,NORMAL,ENGLISH,NEAR MINT
5883,LOVISA COLDEYES,RARE,2.0,10.0,COLDSNAP,FOIL,ENGLISH,NEAR MINT
6085,TRINISPHERE,RARE,3.0,10.0,DARKSTEEL,NORMAL,ENGLISH,NEAR MINT
6093,AKROMA'S MEMORIAL,RARE,6.0,10.0,FUTURESIGHT,NORMAL,ENGLISH,NEAR MINT
6134,JHOIRA OF THE GHITU,RARE,2.0,10.0,FUTURESIGHT,FOIL,ENGLISH,NEAR MINT
6159,PACT OF NEGATION,RARE,3.0,10.0,FUTURESIGHT,NORMAL,ENGLISH,NEAR MINT
6206,BELEDROS WITHERBLOOM,MYTHIC,4.0,10.0,3277 STRIXHAVEN,FOIL,ENGLISH,NEAR MINT
6383,"KARN, SCION OF URZA",MYTHIC,3.0,10.0,DOMINARIA,FOIL,ENGLISH,NEAR MINT
6547,EXTENDED ART FABLED PASSAGE,RARE,3.0,10.0,THRONE OF ELDRAINE,FOIL,ENGLISH,NEAR MINT
6554,EXTENDED ART HUSHBRINGER,RARE,2.0,10.0,THRONE OF ELDRAINE,FOIL,ENGLISH,NEAR MINT
6558,EXTENDED ART MIDNIGHT CLOCK,RARE,2.0,10.0,THRONE OF ELDRAINE,FOIL,ENGLISH,NEAR MINT
6651,BANESLAYER ANGEL,MYTHIC,2.0,10.0,M10 CORE SET,FOIL,ENGLISH,NEAR MINT
6720,PROTEAN HYDRA,MYTHIC,2.0,10.0,M10 CORE SET,FOIL,ENGLISH,NEAR MINT
6791,CRANIAL PLATING,S,4.0,10.0,TIME SPIRAL REMASTERED,FOIL,ENGLISH,NEAR MINT
6863,PACT OF NEGATION,RARE,2.0,10.0,TIME SPIRAL REMASTERED,FOIL,ENGLISH,NEAR MINT
6968,BIRDS OF PARADISE,RARE,2.0,10.0,M11 CORE SET,FOIL,ENGLISH,NEAR MINT
7008,LEYLINE OF SANCTITY,RARE,4.0,10.0,M11 CORE SET,FOIL,ENGLISH,NEAR MINT
7129,COLOSSUS HAMMER,UNCOMMON,4.0,10.0,CORE SET 2020,FOIL,ENGLISH,NEAR MINT
7232,SWORD OF SINEW AND STEEL,MYTHIC,6.0,10.0,MODERN HORIZONS 1 RETRO FRAMES,FOIL,ENGLISH,NEAR MINT
7234,SWORD OF TRUTH AND JUSTICE (RETRO FRAME) (FOIL ETCHED),MYTHIC,3.0,10.0,MODERN HORIZONS 1 RETRO FRAMES,FOIL,ENGLISH,NEAR MINT
7285,ARCLIGHT PHOENIX,MYTHIC,3.0,10.0,GUILDS OF RAVNICA,FOIL,ENGLISH,NEAR MINT
7346,TEMPLE GARDEN,RARE,4.0,10.0,GUILDS OF RAVNICA,FOIL,ENGLISH,NEAR MINT
8037,"KOKUSHO, THE EVENING STAR",RARE,6.0,10.0,ICONIC MASTERS,NORMAL,ENGLISH,NEAR MINT
8761,GOD-ETERNAL OKETRA,MYTHIC,2.0,10.0,WAR OF THE SPARK,FOIL,ENGLISH,NEAR MINT
8766,HUATLI THE SUN S HEART (JPN ALTERNATE ART),UNCOMMON,2.0,10.0,WAR OF THE SPARK,FOIL,JAPANESE,NEAR MINT
8783,KIORA BEHEMOTH BECKONER (JPN ALTERNATE ART),UNCOMMON,2.0,10.0,WAR OF THE SPARK,FOIL,JAPANESE,NEAR MINT
8796,NAHIRI STORM OF STONE (JPN ALTERNATE ART),UNCOMMON,2.0,10.0,WAR OF THE SPARK,FOIL,JAPANESE,NEAR MINT
8842,TIBALT RAKISH INSTIGATOR (JPN ALTERNATE ART),UNCOMMON,2.0,10.0,WAR OF THE SPARK,FOIL,JAPANESE,NEAR MINT
9013,TEMPORAL MASTERY,MYTHIC,4.0,10.0,MODERN MASTERS 2017,FOIL,ENGLISH,NEAR MINT
9057,FABRICATE,UNCOMMON,2.0,10.0,MIRRODIN,FOIL,ENGLISH,NEAR MINT
9174,COASTAL PIRACY,RARE,2.0,10.0,8TH EDITION,FOIL,ENGLISH,NEAR MINT
9176,COAT OF ARMS,RARE,3.0,10.0,8TH EDITION,NORMAL,ENGLISH,NEAR MINT
9181,ELVISH CHAMPION,RARE,4.0,10.0,8TH EDITION,NORMAL,ENGLISH,NEAR MINT
9207,MERCHANT SCROLL,UNCOMMON,2.0,10.0,8TH EDITION,FOIL,ENGLISH,NEAR MINT
9246,WORSHIP,RARE,2.0,10.0,8TH EDITION,FOIL,ENGLISH,NEAR MINT
9247,WRATH OF GOD,RARE,2.0,10.0,8TH EDITION,FOIL,ENGLISH,NEAR MINT
9263,BORDERLESS ALT ART GRIM TUTOR,MYTHIC,8.0,10.0,CORE SET 2021,NORMAL,ENGLISH,NEAR MINT
9313,EXTENDED ART HEROIC INTERVENTION,RARE,15.0,10.0,CORE SET 2021,FOIL,ENGLISH,NEAR MINT
9315,"EXTENDED ART MANGARA, THE DIPLOMAT",MYTHIC,6.0,10.0,CORE SET 2021,NORMAL,ENGLISH,NEAR MINT
9320,EXTENDED ART RIN AND SERI INSEPERABLE BIBB,MYTHIC,16.0,10.0,CORE SET 2021,FOIL,ENGLISH,NEAR MINT
9321,EXTENDED ART RIN AND SERI INSEPERABLE BIBB,MYTHIC,8.0,10.0,CORE SET 2021,NORMAL,ENGLISH,NEAR MINT
9341,FIERY EMANCIPATION,MYTHIC,10.0,10.0,CORE SET 2021,NORMAL,ENGLISH,NEAR MINT
9345,GRIM TUTOR,MYTHIC,4.0,10.0,CORE SET 2021,FOIL,ENGLISH,NEAR MINT
9429,COMBAT CELEBRANT,MYTHIC,2.0,10.0,AMONKHET,FOIL,ENGLISH,NEAR MINT
9525,EIDOLON OF THE GREAT REVEL,RARE,5.0,10.0,MASTERS 25,NORMAL,ENGLISH,NEAR MINT
9530,ELVISH PIPER,RARE,1.0,10.0,MASTERS 25,FOIL,ENGLISH,NEAR MINT
9582,PROTEAN HULK,RARE,2.0,10.0,MASTERS 25,FOIL,ENGLISH,NEAR MINT
9738,"DRANA, LIBERATOR OF MALAKIR",MYTHIC,2.0,10.0,BATTLE FOR ZENDIKAR,FOIL,ENGLISH,NEAR MINT
9780,VOID WINNOWER,MYTHIC,2.0,10.0,BATTLE FOR ZENDIKAR,FOIL,ENGLISH,NEAR MINT
9886,BLOOD ARTIST,UNCOMMON,4.0,10.0,AVACYN RESTORED,FOIL,ENGLISH,NEAR MINT
10070,SUNBAKED CANYON,RARE,4.0,10.0,MODERN HORIZONS,NORMAL,ENGLISH,NEAR MINT
10129,MIRAGE MIRROR,RARE,3.0,10.0,HOURS OF DEVESTATION,FOIL,ENGLISH,NEAR MINT
10259,THORNBITE STAFF,UNCOMMON,2.0,10.0,MORNINGTIDE,FOIL,ENGLISH,NEAR MINT
